,Track_ID,Track_Title,Track_Artist,Track_Popularity,Track_URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoutsicness,Instrumentalness,Liveness,Valence,Tempo
13893,5z9VyMWkBCHB8iSVaLq3jk,The Captain Is Drunk,Jack Johnson,43,https://p.scdn.co/mp3-preview/3d524f1d133c6805dc2d8764f3cd43dac6b721ca?cid=1346ad7fd5d14060af96cc4eaf61e382,0.754,0.216,0,-12.136,1,0.0301,0.741,3.07e-05,0.0957,0.434,84.942
13894,6EprgVYMTXhotXNEBi4qr2,The Ceiling,Lewis Del Mar,34,https://p.scdn.co/mp3-preview/3a83fa08bf3ff6aa714b2ce4d05dac0731b29db9?cid=1346ad7fd5d14060af96cc4eaf61e382,0.529,0.868,7,-5.001,1,0.0378,0.0424,1.31e-05,0.504,0.575,162.013
13895,2buUEhuN8I6tZ27kaWfqyh,The Change,JoJo,26,https://p.scdn.co/mp3-preview/10dec7535d3666f3618a43d61f09dcbff4513127?cid=1346ad7fd5d14060af96cc4eaf61e382,0.49,0.445,8,-6.696,1,0.0545,0.276,1.34e-05,0.193,0.248,117.531
13896,0pE75Wp3Np1f8N5RcNE8wZ,The Chemist,Forts,35,https://p.scdn.co/mp3-preview/685baa0a1de411b48a9b26f3f9fa666bc0123fc5?cid=1346ad7fd5d14060af96cc4eaf61e382,0.63,0.828,9,-6.348,1,0.0305,9.89e-05,0.338,0.282,0.386,157.063
13897,66VenHDtrQAw7FCjyF2J56,The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,70,https://p.scdn.co/mp3-preview/059b502fb06c18d44add7e22e8c35c9114e518ee?cid=1346ad7fd5d14060af96cc4eaf61e382,0.341,0.181,2,-12.073,0,0.0366,0.888,0.0,0.137,0.212,83.608
13899,1knDG6hRiyjs3d7tG4GJ2Z,The Code,The Game,46,https://p.scdn.co/mp3-preview/d962111a40b4d12b22e91d8e32885d696df4967c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.789,0.679,10,-6.236,0,0.275,0.0627,1.94e-06,0.0752,0.541,95.008
13900,7lElOtOondehTtHdnuoX9V,The Comeback,Zac Brown Band,45,https://p.scdn.co/mp3-preview/1e8a6ddaff8f1275a1435e753a6251a88e9a0f28?cid=1346ad7fd5d14060af96cc4eaf61e382,0.662,0.829,6,-3.136,1,0.0299,0.0293,0.0,0.228,0.552,113.048
13901,5Ao3zphwFOT0tNJLTJfPX6,The Commission,Icewear Vezzo,41,https://p.scdn.co/mp3-preview/f4229fb40310f60d4b4b62734f4cd7af9a40de56?cid=1346ad7fd5d14060af96cc4eaf61e382,0.835,0.454,1,-11.179,1,0.292,0.0244,6.09e-05,0.34,0.327,100.001
13902,2COHO8K4VuIKSFy7Lhjetx,THE COPS (feat. Tokyo Ghetto Pussy),ElyOtto,26,https://p.scdn.co/mp3-preview/da1543de379ccc68760eae73d04ebd3b31fe807b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.616,0.895,6,-5.351,1,0.0529,0.00522,0.893,0.125,0.894,175.012
13904,2ose0JeFj5QG3IWw79Eniv,The Creeps,Garbage,13,https://p.scdn.co/mp3-preview/1860be96f7f86484ecbcb99bbba955170af959ee?cid=1346ad7fd5d14060af96cc4eaf61e382,0.286,0.935,2,-7.46,1,0.0478,0.000151,0.468,0.0628,0.574,170.461
